#,Title,Artist,Release,BPM,Energy,Dance,Loud,Valence,Length,Acoustic,Pop.,A.Sep,Rnd,Genre
1,KICK BACK,Kenshi Yonezu,2022-10-12,102,94,58,-5,29,3:13,0,88,24,4667,Anime
2,vendetta!,MUPP,2022-05-20,126,91,71,-4,67,1:47,18,83,111,4155,Anime
3,Limbo,Freddie Dredd,2022-08-11,75,62,80,-6,46,2:50,3,82,35,7509,Anime
4,Disaster,KSLV Noh,2021-06-21,117,61,82,-6,51,1:24,2,79,112,9349,Anime
5,This fffire - New Version,Franz Ferdinand,2004-11-15,146,89,44,-6,64,3:38,3,74,113,4368,Anime
6,Stay With Me,1nonly,2020-10-11,127,84,68,-8,34,2:22,30,78,11,4186,Anime
7,CHAINSAW BLOOD,Vaundy,2022-10-12,147,86,53,-5,55,3:21,0,77,36,1985,Anime
8,HDMI,BONES,2014-12-02,125,29,71,-16,12,2:19,69,77,37,5819,Anime
9,ILoveUIHateU,Playboi Carti,2020-12-25,135,69,68,-7,11,2:15,1,76,114,6035,Anime
10,Heat Signature,do not resurrect,2022-05-26,100,87,88,-4,89,2:00,5,54,115,4158,Anime
11,Paris,$uicideboy$,2015-11-20,106,65,85,-6,20,1:51,7,76,116,877,Anime
12,MISA MISA!,CORPSE,2022-08-26,95,98,67,-1,69,1:26,3,76,38,2661,Anime
13,Talk,Yeat,2022-09-09,140,76,70,-5,25,2:55,9,75,117,6137,Anime
14,AirplaneMode,BONES,2019-11-29,140,60,85,-6,55,1:15,16,76,525,6839,Anime
15,masquerade,siouxxie sixxsta,2021-11-11,161,79,61,-6,61,2:25,0,75,118,3241,Anime
16,C'est La Vie (with bbno$ & Rich Brian),Yung Gravy,2022-09-23,142,78,89,-4,77,2:40,6,74,119,2341,Anime
17,残響散歌,Aimer,2021-12-06,171,90,37,-4,38,3:05,0,74,0,2539,Anime
18,By the Sword,iamjakehill,2020-07-15,160,76,69,-8,78,2:06,2,74,120,8946,Anime
19,Kaikai Kitan,Eve,2020-12-23,93,91,58,-4,61,3:41,1,74,12,5660,Anime
20,HOT DEMON B!TCHES NEAR U ! ! !,CORPSE,2021-09-03,100,76,79,-4,84,1:36,1,74,526,8782,Anime
21,GOSHA,$NOT,2020-03-06,80,45,85,-10,49,2:00,81,73,121,7468,Anime
22,Erase Your Social,Lil Uzi Vert,2016-08-10,140,61,71,-6,72,3:20,69,73,122,4556,Anime
23,Mercury: Retrograde,Ghostemane,2017-09-05,157,82,83,-7,43,2:05,6,73,123,7067,Anime
24,紅蓮華,LiSA,2020-10-14,135,98,54,-3,26,3:58,0,73,3,406,Anime
25,Aces,dkj,2022-07-08,140,54,61,-11,44,2:02,0,74,124,5917,Anime
26,Shakira!,1nonly,2020-11-06,100,83,79,-5,62,2:30,10,72,213,1915,Anime
27,MARCELINE,Lil God Dan,2020-12-15,124,81,75,-2,60,2:35,15,72,125,3921,Anime
28,シルエット,KANA-BOON,2015-01-21,91,93,44,-3,38,4:00,0,72,4,8547,Anime
29,ALL GIRLS ARE THE SAME,RØNIN,2020-04-30,118,34,79,-11,47,2:02,59,72,127,4834,Anime
30,unravel,TK from Ling tosite sigure,2014-08-27,135,89,51,-3,33,3:58,5,71,128,8220,Anime
31,The Rumbling,SiM,2022-02-07,145,88,46,-1,49,3:41,0,71,25,3521,Anime
32,I'm Only a Fool for You,Dybbukk,2018-06-13,71,32,63,-8,37,1:01,3,71,129,6677,Anime
33,ピースサイン,Kenshi Yonezu,2017-11-01,100,94,59,-4,62,3:59,0,70,326,4154,Anime
34,BodyPartz,Luci4,2021-05-29,160,53,44,-6,16,1:19,4,70,130,8019,Anime
35,Killin' On Demand,Freddie Dredd,2018-12-18,140,74,89,-5,95,2:09,0,70,527,3350,Anime
36,Bunny Girl,1nonly,2020-08-20,95,66,77,-8,50,2:47,28,70,424,845,Anime
37,怪物,YOASOBI,2021-01-06,170,82,63,-3,77,3:26,7,70,13,9972,Anime
38,カワキヲアメク,美波,2019-01-30,129,85,54,-3,52,4:12,1,69,131,2245,Anime
39,Freak Show,Punkinloveee,2020-06-09,138,83,67,-6,68,2:05,1,69,132,8481,Anime
40,"No Suburban, Pt. 2",Sheff G,2020-05-15,144,46,85,-8,62,2:34,48,69,133,3953,Anime
41,ブルーバード,Ikimonogakari,2006,152,97,54,-3,85,3:36,12,69,39,7410,Anime
42,Kyouran Hey Kids!!,THE ORAL CIGARETTES,2016-01-05,142,98,53,-2,78,4:11,0,68,40,2767,Anime
43,chinatown!,22December,2021-05-21,110,66,42,-8,31,2:25,2,68,134,1884,Anime
44,Princess Bubblegum,ilyTOMMY,2018-07-30,140,48,59,-12,7,1:36,42,68,135,5127,Anime
45,インフェルノ,Mrs. GREEN APPLE,2019-10-01,93,92,53,-2,66,3:32,1,67,41,9838,Anime
46,2K FREESTYLE,Lazy3x,2020-02-16,109,68,59,-3,28,3:33,0,67,136,1193,Anime
47,uhh,framed,2021-06-12,113,41,42,-16,24,1:24,51,66,137,1107,Anime
48,The Law of Recognition,KYSLINGO,2020-04-12,112,25,89,-12,13,2:09,29,66,138,3066,Anime
49,I Feel Fantastic,Riovaz,2021-12-07,136,54,77,-16,69,2:27,19,65,139,9821,Anime
50,Still Cold / Pathway Private,Night Lovell,2016-06-14,100,41,53,-12,7,4:31,27,65,140,6035,Anime
51,again,YUI,2010-07-14,140,83,60,-4,49,4:14,5,65,141,2445,Anime
52,LED,OmenXIII,2017-12-28,200,66,66,-7,61,2:14,9,65,142,4760,Anime
53,FLY HIGH!!,BURNOUT SYNDROMES,2016-11-09,94,96,48,-1,36,4:04,1,64,14,9159,Anime
54,BLACKED OUT,777villain,2021-01-01,120,47,96,-10,51,2:13,14,64,143,3952,Anime
55,CHROME BERETTA,Softwilly,2021-12-10,172,77,48,-4,40,2:39,13,64,42,9298,Anime
