#,Title,Artist,Release,BPM,Energy,Dance,Loud,Valence,Length,Acoustic,Pop.,A.Sep,Rnd,Genre
1,Don't Rain on My Parade,Lea Michele,2022-11-18,130,47,58,-9,48,2:38,51,42,39,4320,Broadway
2,You'll Be Back,Jonathan Groff,2015-09-25,122,47,61,-8,43,3:28,39,68,32,4307,Broadway
3,Moments In The Woods,Sara Bareilles,2022-09-30,129,22,52,-12,34,3:03,85,50,255,8649,Broadway
4,Don't Lose Ur Head,SIX,2018-08-31,83,61,86,-8,72,4:05,25,66,67,6987,Broadway
5,Waving Through A Window,Ben Platt,2017-02-03,146,71,55,-6,52,3:56,32,63,68,285,Broadway
6,Say My Name,Alex Brightman,2019-06-07,94,75,53,-6,70,3:55,35,65,256,1083,Broadway
7,"Defying Gravity - From ""Wicked"" Original Broadway Cast Recording/2003",Stephen Schwartz,2003-01-01,88,38,33,-8,25,5:54,72,56,40,5523,Broadway
8,Seasons of Love,Rosario Dawson,2005-09-27,178,58,48,-4,47,3:03,61,58,257,5998,Broadway
9,And I Am Telling You I'm Not Going - Original Broadway Cast/1982,Jennifer Holliday,2006-01-01,123,55,40,-8,26,4:04,17,45,114,5350,Broadway
10,On My Own,Frances Ruffelle,1985-01-01,133,17,32,-11,17,3:59,97,47,41,1443,Broadway
11,Maybe This Time,Natasha Richardson,1998-06-30,83,14,25,-13,13,3:00,93,43,69,4195,Broadway
12,No One Is Alone,Phillipa Soo,2022-09-30,82,15,33,-13,19,3:44,91,45,19,3770,Broadway
13,I'm the Greatest Star,Lea Michele,2022-11-18,77,39,48,-10,44,3:33,68,39,378,1056,Broadway
14,She Used to Be Mine,Jessie Mueller,2016-06-03,125,22,61,-9,13,4:21,55,56,70,6478,Broadway
15,Suddenly Seymour,Tammy Blanchard,2019-12-20,99,42,37,-10,31,3:45,6,44,71,728,Broadway
16,Being Alive,Stephen Sondheim,2007-02-13,98,41,37,-7,15,5:07,89,47,9,9200,Broadway
17,All I Ask Of You,Andrew Lloyd Webber,1987-01-01,139,18,22,-17,13,4:15,72,50,0,1308,Broadway
18,That’s the Way It Is,Betsy Wolfe,2022-10-28,171,35,34,-7,26,3:29,65,35,115,2850,Broadway
19,Meant to be Yours,Jamie Muscato,2019-03-01,98,63,55,-6,46,3:30,40,61,261,4525,Broadway
20,Tonight,Matt Cavenaugh,2009-06-02,111,10,30,-13,7,5:34,90,38,116,7500,Broadway
21,One Day More,"""Les Misérables Original London Cast"" Ensemble",1985-01-01,79,48,23,-7,26,3:36,87,47,262,2203,Broadway
22,Giants In The Sky,Cole Thompson,2022-09-30,132,37,50,-11,41,2:24,80,45,263,1148,Broadway
23,I'll Be There,Ayana George,2022-07-15,88,39,50,-7,15,3:32,8,36,264,2227,Broadway
24,Anything Goes,Sutton Foster,2011-09-06,99,44,62,-9,73,5:48,68,47,14,9440,Broadway
25,Don't Cry For Me Argentina,Andrew Lloyd Webber,2006-01-01,61,17,21,-11,8,5:51,94,41,21,6752,Broadway
26,The Ladies Who Lunch,Patti LuPone,2019-02-01,120,23,55,-14,39,4:09,69,38,10,4524,Broadway
27,Elephant Love Medley,Aaron Tveit,2019-08-30,144,62,40,-5,38,5:25,35,50,43,8363,Broadway
28,The Story of The Phantom,Krystina Alabado,2021-10-29,126,44,80,-9,21,5:13,28,47,265,6429,Broadway
29,"For Good - From ""Wicked"" Original Broadway Cast Recording/2003",Kristin Chenoweth,2013-01-01,85,14,28,-14,24,5:07,95,51,8,7224,Broadway
30,We Don't Need Another Hero,Adrienne Warren,2019-08-08,99,51,50,-9,29,3:47,42,30,118,7184,Broadway
31,Omigod You Guys,Annaleigh Ashford,2007-07-16,160,48,57,-10,62,5:47,50,54,20,5121,Broadway
32,What The Hell,Analise Scarpaci,2022-06-22,140,59,75,-7,51,3:16,51,37,267,5713,Broadway
33,"I’m Not a Girl, Not Yet a Woman",Justin David Sullivan,2022-10-28,83,34,48,-8,42,3:25,82,35,268,2457,Broadway
34,Burn,Phillipa Soo,2015-09-25,100,43,58,-9,26,3:45,75,66,237,1220,Broadway
35,Dead Mom,Sophia Anne Caruso,2019-06-07,135,48,53,-7,25,3:04,29,61,72,6668,Broadway
36,Everything's Coming Up Roses,Rose,2008-08-26,75,53,52,-4,53,2:52,69,38,119,6549,Broadway
37,Till There Was You,Barbara Cook,1958-01-01,82,24,22,-13,19,2:46,72,36,120,6225,Broadway
38,Maybe It Starts With Me,Shoshana Bean,2022-06-10,131,49,54,-6,56,2:50,62,32,269,8322,Broadway
39,Way Down Hadestown,Hadestown Original Broadway Company,2019-07-26,93,62,66,-5,55,5:00,66,51,270,2237,Broadway
40,Nothing,Marvin Hamlisch,2015-10-23,89,52,62,-10,39,4:20,64,34,7,5709,Broadway
41,Inner White Girl,Jaquel Spivey,2022-06-10,120,69,63,-7,68,3:34,63,38,271,1857,Broadway
42,Wheels of a Dream,Audra McDonald,1998,169,37,21,-8,13,3:57,94,34,121,3405,Broadway
43,Bring Him Home,Colm Wilkinson,1985-01-01,170,30,18,-12,7,2:54,98,42,18,9195,Broadway
