#,Title,Artist,Release,BPM,Energy,Dance,Loud,Valence,Length,Acoustic,Pop.,A.Sep,Rnd,Genre
1,"Cello Suite No. 1 in G Major, BWV 1007: I. Prélude",Johann Sebastian Bach,1983,75,11,26,-21,31,2:31,90,64,0,3489,Classical
2,"The Well-Tempered Clavier: Book 1, BWV 846-869: I. Prelude in C Major, BWV 846",Johann Sebastian Bach,2019-03-29,134,13,22,-25,22,2:19,99,63,34,1397,Classical
3,"Bagatelle No. 25 in A Minor, WoO 59 ""Für Elise""",Ludwig van Beethoven,2015,126,3,29,-31,12,3:32,99,64,5,4832,Classical
4,"Suite No. 3 in D Major, BWV 1068: II. Air",Johann Sebastian Bach,2020-08-31,176,8,8,-26,6,6:03,92,64,64,9068,Classical
5,Pachelbel: Canon and Gigue for Three Violins and Continuo in D Major: Canon,Johann Pachelbel,1986,85,13,13,-18,10,5:02,74,58,290,8708,Classical
6,"Handel / Orch. Hale: Keyboard Suite No. 4 in D Minor, HWV 437: III. Sarabande",George Frideric Handel,2002,67,3,9,-24,5,3:27,93,66,11,4241,Classical
7,Gnossienne No. 1,Erik Satie,2013,72,1,38,-32,4,4:56,100,65,23,9758,Classical
8,"The Carnival of the Animals, R. 125: XIII. The Swan (Arr. for Cello and Piano)",Camille Saint-Saëns,2015-09-18,128,2,17,-31,6,2:54,99,70,19,1809,Classical
9,"Suite bergamasque, L. 75: III. Clair de lune",Claude Debussy,2018-07-27,132,1,34,-33,4,4:55,99,67,2,3057,Classical
10,Meditation: Méditation from Thaïs,Jules Massenet,2005-01-01,89,7,11,-23,4,5:32,87,56,37,7291,Classical
11,"An der schönen blauen Donau, Op. 314",Johann Strauss II,1982-01-01,95,3,23,-25,9,11:47,98,61,138,9036,Classical
12,"Danse Macabre, Op. 40, R.171",Camille Saint-Saëns,2021-10-27,107,13,37,-24,7,7:23,90,58,171,7402,Classical
13,Mahler: Symphony No. 5 in C-Sharp Minor: IV. Adagietto. Sehr langsam,Gustav Mahler,1998-08-14,82,5,8,-23,3,9:43,90,59,38,7808,Classical
14,The Lark Ascending,Ralph Vaughan Williams,2013-11-01,83,1,9,-32,4,15:33,90,57,76,7677,Classical
15,"Piano Concerto No. 2 in C Minor, Op. 18: 2. Adagio sostenuto",Sergei Rachmaninoff,2012-01-01,141,5,19,-25,4,10:44,98,60,20,8714,Classical
16,Rodrigo: Concierto de Aranjuez: II. Adagio,Joaquín Rodrigo,2020-10-02,85,10,25,-20,6,10:40,93,55,291,561,Classical
17,"Sonata No. 14 ""Moonlight"" in C-Sharp Minor"", Op. 27 No. 2: I. Adagio sostenuto",Ludwig van Beethoven,2007-09-25,171,1,18,-37,15,5:15,100,69,85,6658,Classical
18,Scheherazade: The Tale of the Kalendar Prince,Nikolai Rimsky-Korsakov,1999-02-01,121,6,24,-24,8,3:20,96,56,294,803,Classical
19,"Elgar: Cello Concerto in E Minor, Op. 85: I. Adagio - Moderato",Edward Elgar,1988-08-08,88,7,15,-25,5,7:59,94,53,27,102,Classical
20,"Piano Concerto in A Minor, Op. 16: I. Allegro molto moderato",Edvard Grieg,2016-04-01,130,5,31,-26,4,12:46,98,52,16,9423,Classical
21,"Ständchen in D Minor (After Schubert), S. 560",Franz Liszt,2011-08-23,76,1,34,-28,4,5:58,99,55,13,1871,Classical
22,"Liebestraum No. 3 in A-Flat Major, S. 541 / 3",Franz Liszt,2011-08-22,137,3,28,-27,3,4:53,99,61,133,3856,Classical
23,"Andante festivo for Strings and Timpani, JS 34b",Jean Sibelius,2003-09-01,65,16,11,-20,4,5:38,48,51,51,1400,Classical
24,"Piano Concerto No. 3 in C, Op. 26: 1. Andante - Allegro",Sergei Prokofiev,2022-09-22,133,25,35,-16,10,9:25,95,43,139,9268,Classical
25,O Magnum Mysterium: O magnum mysterium,Morten Lauridsen,2006-01-01,65,1,6,-28,3,6:56,99,52,295,7216,Classical
26,Spring 1 - 2012,Max Richter,2014-01-01,106,34,70,-12,16,2:32,50,58,33,317,Classical
27,"Prokofiev: Romeo and Juliet, Op. 64, Act 1, Scene 2: Dance of the Knights",Sergei Prokofiev,1973,86,10,21,-19,15,5:42,93,57,1081,820,Classical
28,"Rhapsody on a Theme of Paganini, Op. 43: Variation No. 18 Andante cantabile",Sergei Rachmaninoff,2015-08-28,88,5,21,-24,5,2:55,98,52,172,2009,Classical
29,"Piano Concerto in A Minor, Op. 16: I. Allegro molto moderato",Edvard Grieg,2015-05-18,94,12,30,-18,4,13:41,98,51,151,9893,Classical
30,"Barber: Adagio for Strings, Op. 11",Samuel Barber,2010-01-18,74,7,10,-24,3,8:57,97,57,140,3503,Classical
31,Khachaturian: Spartacus Suite No. 2: I. Adagio of Spartacus and Phrygia,Aram Khachaturian,1993,106,11,17,-22,3,9:52,81,48,77,1735,Classical
32,Prince Igor (Knyaz Igor): Act II: Polovtsian Dances - Ulyetay na kril'yahk vyetra (Fly away on the wings of the wind) (version for chorus),Alexander Borodin,2005-08-01,110,25,29,-15,9,10:43,92,49,78,4725,Classical
33,"Symphony No. 40 in G Minor, K. 550: I. Molto allegro",Wolfgang Amadeus Mozart,2020-02-21,119,33,33,-13,28,7:15,88,51,1,5827,Classical
34,"Elégie in C Minor, Op. 24 (Arr. Parkin)",Gabriel Fauré,2020-01-10,88,4,12,-24,4,7:35,97,49,12,3666,Classical
35,"Ravel: Pavane pour une infante défunte, M. 19",Maurice Ravel,2016-01-15,126,2,49,-27,9,5:47,99,60,24,7948,Classical
36,"Violin Sonata in A major, FWV 8: IV. Allegretto poco mosso",César Franck,2012-01-06,94,14,25,-19,18,6:04,96,50,141,3028,Classical
37,"Piano Concerto No. 1 in B-Flat Minor, Op. 23: I. Allegro non troppo e molto maestoso – Allegro con spirito",Pyotr Ilyich Tchaikovsky,2012-08-28,84,12,21,-21,4,20:52,98,48,6,9688,Classical
38,Spiegel im Spiegel - Version for Violin and Piano,Arvo Pärt,1999-10-15,71,1,18,-42,4,10:36,90,51,297,6010,Classical
39,"Symphony No. 8 In B Minor, D.759 - ""Unfinished"": 1. Allegro moderato",Franz Schubert,1997-01-01,74,3,10,-17,5,15:02,90,42,4,3565,Classical
40,The Sorcerer's Apprentice,Paul Dukas,1999-01-01,130,21,35,-23,8,9:37,80,47,142,1088,Classical
41,"Sechs Klavierstücke, Op. 118: II. Intermezzo in A Major",Johannes Brahms,2017-04-07,69,1,30,-31,6,6:19,99,63,22,2439,Classical
42,"Petite Suite de Concert, Op. 77: III. Un sonnet d'amour",Samuel Coleridge-Taylor,2022-07-29,126,3,23,-29,4,3:40,94,45,52,5372,Classical
43,"Serenade in B-Flat Major, K. 361 ""Gran Partita"": III. Adagio",Wolfgang Amadeus Mozart,2001-01-01,68,4,17,-25,4,5:30,99,57,68,5643,Classical
44,"Chopin: Nocturne No. 20 in C-Sharp Minor, Op. Posth.",Frédéric Chopin,2000-01-01,164,0,23,-31,19,4:19,99,66,3,5917,Classical
45,Il barbiere di Siviglia: Overture (Sinfonia),Gioachino Rossini,2003-01-01,92,14,32,-21,28,7:05,91,50,298,5525,Classical
46,"Turandot, SC 91 / Act III: ""Nessun dorma!""",Giacomo Puccini,1973-01-01,84,30,21,-13,8,2:57,96,60,79,3103,Classical
47,"Peer Gynt, Op. 23: Act II, 7, In the Hall of the Mountain King",Edvard Grieg,1989,104,15,44,-21,36,2:33,96,50,284,953,Classical
48,"Paganini: 24 Caprices, Op. 1: No. 24 in A Minor",Niccolò Paganini,2000-02-01,111,13,47,-18,43,4:29,98,55,144,7291,Classical
49,"Dolly, Op. 56: 1. Berceuse",Gabriel Fauré,2015-01-01,63,1,37,-34,28,2:57,100,65,123,9978,Classical
50,"Goldberg Variations, BWV 988: Variatio 7 a 1 ovvero 2 Clav. Al tempo di Giga",Johann Sebastian Bach,2021-02-12,71,6,31,-26,57,2:20,99,54,95,189,Classical
51,"Symphonic Variations on an African Air, Op. 63",Samuel Coleridge-Taylor,1993-01-01,121,3,22,-26,5,20:16,96,45,470,3919,Classical
52,The Rite of Spring: Part One: Adoration of the Earth: Introduction,Igor Stravinsky,2015-10-09,87,2,10,-30,3,3:29,95,47,80,5068,Classical
53,"Rêverie, L. 68: Rêverie",Claude Debussy,2012-01-01,69,1,30,-32,7,4:17,99,62,71,2145,Classical
54,Violin Concerto No. 10 in G Major: Largo,Joseph Boulogne Chevalier de Saint-Georges,2004-08-01,186,5,21,-24,15,6:38,93,51,145,6517,Classical
55,"The Gadfly Suite, Op. 97a: VIII. Romance",Dmitri Shostakovich,2019-05-24,170,7,12,-24,4,3:15,97,48,14,8610,Classical
56,"The Four Seasons - Violin Concerto in F Minor, Op. 8 No. 4, RV 297 ""Winter"": I. Allegro non molto",Antonio Vivaldi,2008,158,16,48,-19,21,3:24,81,59,9,9547,Classical
57,Young Person's Guide To The Orchestra,Benjamin Britten,2007-08-03,77,12,22,-19,6,17:31,94,46,146,5114,Classical
58,Rhapsody In Blue,George Gershwin,2012-01-01,75,26,31,-15,12,14:50,98,41,299,7946,Classical
59,"Piano Concerto in C-Sharp Minor, FP 146: I. Allegretto commodo - Live",Francis Poulenc,2018-08-01,86,8,19,-23,6,9:40,97,44,53,2286,Classical
60,"Pelléas et Mélisande, Op. 80: 4. Sicilienne",Gabriel Fauré,1988-01-01,102,2,16,-34,6,3:53,94,45,227,8026,Classical
61,"Serenade for Strings in C major, Op. 48: II. Walzer: Moderato, tempo di valse",Pyotr Ilyich Tchaikovsky,2008-09-24,66,12,24,-22,19,3:29,93,49,90,9678,Classical
62,"Symphony No. 5 in C Minor, Op. 67: I. Allegro con brio",Ludwig van Beethoven,1995-01-01,98,32,25,-16,19,7:22,96,60,160,864,Classical
63,"Piano Concerto No. 5 in E-Flat Major, Op. 73 ""Emperor"": II. Adagio un poco mosso - Live at Konzerthaus Berlin / 2018",Ludwig van Beethoven,2019-09-13,84,4,17,-27,4,7:54,98,46,240,4960,Classical
64,On the Nature of Daylight,Max Richter,2018-05-11,65,34,7,-13,3,6:12,15,64,287,9377,Classical
65,"St. Matthew Passion, BWV 244 / Part Two: ""Erbarme dich""",Johann Sebastian Bach,1987-01-01,95,6,24,-25,8,7:03,94,43,126,6021,Classical
66,"Hungarian Dance No. 5 in G Minor, WoO 1, No. 5",Johannes Brahms,1999-01-01,107,5,35,-19,30,2:31,90,51,196,1562,Classical
67,"Cello Concerto No.1, Op.107: 1. Allegretto",Dmitri Shostakovich,1985-01-01,126,16,46,-24,37,6:00,96,43,134,6457,Classical
68,"Goldberg Variations, BWV 988: Aria da capo - 1981 Version",Johann Sebastian Bach,2002-08-27,135,1,44,-37,28,3:44,100,44,154,5237,Classical
