#,Title,Artist,Release,BPM,Energy,Dance,Loud,Valence,Length,Acoustic,Pop.,A.Sep,Rnd,Genre
1,Skinny Little Missy,Nickelback,2022-11-18,84,88,56,-5,61,3:38,0,53,280,3371,Country
2,Beyond the Vale,The Smashing Pumpkins,2022-11-15,115,71,65,-7,76,3:43,0,52,281,9368,Country
3,Break the Mold,Saint Asonia,2022-11-18,105,91,53,-4,46,3:00,0,43,302,7692,Country
4,Sleepwalking,Smash Into Pieces,2022-11-18,92,90,43,-5,33,3:47,0,48,303,7247,Country
5,Sensation,✝✝✝ (Crosses),2022-11-18,136,52,52,-6,9,4:36,0,44,304,4246,Country
6,Bull,Enter Shikari,2022-11-16,113,70,34,-6,45,3:11,2,47,305,230,Country
7,Dressed to Kill,The Wombats,2022-11-18,150,79,52,-7,73,2:53,0,48,306,7940,Country
8,Taste the Money,FIDLAR,2022-11-18,95,88,35,-5,40,2:36,0,38,307,2086,Country
9,Fingers of Steel,shame,2022-11-15,127,93,36,-6,19,4:21,0,44,309,7,Country
10,Where Do I Sign?,Weathers,2022-11-16,180,77,41,-5,52,3:12,0,43,310,1886,Country
11,Floating Like,Arkells,2022-11-17,189,80,46,-4,83,3:04,0,37,311,3842,Country
12,From Hell to Here,HIMALAYAS,2022-11-18,166,73,18,-5,53,2:56,0,34,312,9611,Country
13,Guiding Light,Caskets,2022-11-18,108,89,52,-6,30,4:22,0,47,313,2403,Country
14,T Love - Extended,Quarters of Change,2022-11-18,121,90,64,-5,50,5:59,0,33,314,9618,Country
15,The Dominoes,Mustard Service,2022-11-18,150,96,51,-6,91,2:12,0,36,315,9368,Country
16,SHOUT,girlfriends,2022-11-18,135,91,63,-4,67,2:26,0,39,316,7093,Country
17,Daylight,Birds Of Tokyo,2022-11-18,112,76,57,-5,57,4:03,13,32,317,4948,Country
18,Party Scene,Luca Brasi,2022-11-16,130,90,49,-2,46,2:57,1,32,318,6295,Country
19,Ethel,The Murder Capital,2022-11-16,120,68,57,-9,23,4:29,1,36,319,4231,Country
20,The Kingdom,DEADLETTER,2022-11-18,128,57,72,-11,61,3:24,1,24,320,3819,Country
21,SWALLOWS – WHERE ARE THE SWALLOWS GONNA BUILD THEIR NEST,The Inspector Cluzo,2022-11-18,174,27,37,-11,35,4:18,54,26,321,773,Country
22,Faded (Bye Bye Baby),The Stone Foxes,2022-11-18,160,89,33,-5,61,3:43,1,28,335,1184,Country
23,We Could Start A War,Somebody's Child,2022-11-16,183,87,26,-5,26,3:37,1,35,336,8016,Country
24,Nauseous,Annie DiRusso,2022-11-18,112,77,52,-5,41,3:19,37,37,337,1210,Country
25,Que Sera,Foxblood,2022-11-18,133,92,51,-3,27,3:49,0,31,338,7402,Country
26,M4U,The Rocket Summer,2022-11-18,100,63,59,-8,21,3:25,0,30,342,9276,Country
27,Black Tank Top,George Barnett,2022-11-18,131,73,66,-4,70,3:22,1,27,343,2610,Country
28,Bye Bye Big Bear,The Dirty Nil,2022-11-18,96,72,41,-5,46,2:57,1,36,344,91,Country
29,Moto,STONE,2022-11-18,135,91,44,-6,49,2:46,0,30,345,4385,Country
30,Retina (Begging's Better),False Heads,2022-11-18,130,76,61,-8,49,3:18,0,24,346,4164,Country
31,Apeshit,The Sound Of Animals Fighting,2022-11-16,150,81,42,-6,37,5:18,0,39,349,8944,Country
32,kill you,swim school,2022-11-16,134,52,45,-7,36,3:08,1,30,350,2281,Country
33,The Last Time,ARXX,2022-11-18,102,56,65,-7,52,3:08,3,25,351,4434,Country
34,Piece Of You,Storm Orchestra,2022-11-18,78,97,44,-6,47,4:15,0,25,352,209,Country
35,Jillian,Halo Kitsch,2022-11-18,124,40,48,-8,8,2:28,42,23,353,8719,Country
36,OMG,Neighbourhood Void,2022-11-18,135,59,56,-7,26,2:21,1,22,354,606,Country
