#,Title,Artist,Release,BPM,Energy,Dance,Loud,Valence,Length,Acoustic,Pop.,A.Sep,Rnd,Genre
1,Miss You,Oliver Tree,2022-08-05,145,74,59,-7,20,3:26,1,93,336,7314,Dance/Electronic
2,Serotonin Moonbeams,The Blessed Madonna,2022-11-11,131,88,82,-7,67,4:49,3,60,337,1969,Dance/Electronic
3,10:35,Tiësto,2022-11-03,120,79,70,-6,70,2:52,7,83,1,7230,Dance/Electronic
4,Strong,Romy,2022-11-14,134,81,58,-7,32,3:54,14,65,338,9102,Dance/Electronic
5,Alive (feat. The Moth & The Flame),Kx5,2022-10-11,124,89,65,-8,6,5:09,8,64,76,5235,Dance/Electronic
6,B.O.T.A. (Baddest Of Them All) - Edit,Eliza Rose,2022-08-12,137,91,74,-8,70,3:47,16,87,151,8753,Dance/Electronic
7,I'm Good (Blue),David Guetta,2022-08-26,128,97,56,-4,30,2:55,0,97,7,3318,Dance/Electronic
8,Delilah (pull me out of this),Fred again..,2022-10-17,134,83,69,-8,59,4:11,14,70,0,5459,Dance/Electronic
9,The Sign,CamelPhat,2022-10-28,122,78,71,-7,7,3:33,8,65,77,2483,Dance/Electronic
10,Kiss It Better,Aluna,2022-09-30,127,83,80,-5,60,4:17,0,59,78,9863,Dance/Electronic
11,Drugs From Amsterdam,Mau P,2022-09-16,125,93,68,-10,55,3:56,4,80,339,6815,Dance/Electronic
12,It's Quiet Now (feat. Dope Earth Alien),Honey Dijon,2022-11-18,123,82,70,-8,63,3:03,0,49,152,1299,Dance/Electronic
13,In The Yuma (feat. Aatig),Chris Lake,2022-11-11,126,89,85,-5,94,2:36,0,61,153,2492,Dance/Electronic
14,All By Myself,Alok,2022-10-07,123,85,66,-4,77,2:52,9,78,79,9640,Dance/Electronic
15,I FEEL LIKE DANCING,Hardwell,2022-08-12,132,97,55,-4,19,3:46,0,63,340,6520,Dance/Electronic
16,Nightbird,DJ Snake,2022-11-04,126,81,81,-6,65,2:36,1,63,341,7399,Dance/Electronic
17,Lose Your Love (with Matt Maeson),Gryffin,2022-11-04,150,88,51,-4,43,3:31,2,69,2,8313,Dance/Electronic
18,Under Pressure,MEDUZA,2022-09-23,123,82,42,-8,52,3:15,18,66,35,1228,Dance/Electronic
19,Do you miss me?,PinkPantheress,2022-11-15,130,87,65,-7,64,2:09,10,65,154,6338,Dance/Electronic
20,Smack Yo',Beltran,2022-09-30,127,75,88,-8,74,4:06,0,66,155,7711,Dance/Electronic
21,Remember (feat. Stevie Appleton),Sonny Fodera,2022-09-02,128,89,66,-6,33,3:20,10,67,12,6085,Dance/Electronic
22,Koo Koo Fun (feat. Tiwa Savage & DJ Maphorisa),Major Lazer,2022-09-22,113,76,86,-7,15,3:13,1,52,342,4160,Dance/Electronic
23,Anxious Mind,TSHA,2022-10-07,140,89,61,-7,81,3:28,1,54,36,1303,Dance/Electronic
24,Yeah The Girls,FISHER,2022-09-02,126,97,76,-5,79,3:14,0,65,156,5177,Dance/Electronic
