#,Title,Artist,Release,BPM,Energy,Dance,Loud,Valence,Length,Acoustic,Pop.,A.Sep,Rnd,Genre
1,We Don't Talk About Bruno,Carolina Gaitán - La Gaita,2021-11-19,206,45,58,-9,83,3:36,36,78,110,7064,Disney
2,You're Welcome,Dwayne Johnson,2016-11-18,135,75,79,-7,67,2:44,29,73,111,4915,Disney
3,Nobody Like U,4*TOWN (From Disney and Pixar’s Turning Red),2022-03-11,105,63,91,-10,75,2:41,13,72,16,2826,Disney
4,The Family Madrigal,Stephanie Beatriz,2021-11-19,141,63,59,-6,56,4:17,12,74,29,3197,Disney
5,Love Power (End Credit Version),Idina Menzel,2022-11-18,96,68,52,-8,7,2:58,1,45,11,6954,Disney
6,"Hakuna Matata - From ""The Lion King""/Soundtrack",Nathan Lane,1994-01-01,170,31,41,-18,73,3:34,62,71,112,7325,Disney
7,I'll Make a Man Out of You,Donny Osmond,1998-01-01,114,32,67,-18,50,3:22,14,71,114,9976,Disney
8,How Far I'll Go,Auli'i Cravalho,2016-11-18,84,31,57,-11,11,2:43,65,72,17,1041,Disney
9,Un Poco Loco,Anthony Gonzalez,2017-11-10,126,50,62,-8,64,1:52,60,70,50,4563,Disney
10,Surface Pressure,Jessica Darrow,2021-11-19,180,58,65,-8,37,3:22,2,74,51,3041,Disney
11,"Let It Go - From ""Frozen""/Soundtrack Version",Idina Menzel,2013-01-01,137,49,54,-7,37,3:44,56,74,123,8787,Disney
12,Part of Your World,Jodi Benson,2006-01-01,62,14,27,-15,30,3:15,92,68,18,4391,Disney
13,"When Will My Life Begin? - From ""Tangled"" / Soundtrack Version",Mandy Moore,2010-01-01,108,42,67,-8,39,2:32,11,69,12,9295,Disney
14,"Love Is an Open Door - From ""Frozen""/Soundtrack Version",Kristen Bell,2013-01-01,100,64,74,-6,54,2:05,26,69,6,2881,Disney
15,"That's How You Know - From ""Enchanted""/Soundtrack Version",Amy Adams,2007-01-01,174,67,49,-5,52,3:49,50,64,30,6757,Disney
16,"I Just Can't Wait to Be King - From ""The Lion King""/Soundtrack Version",Jason Weaver,1994-01-01,99,53,69,-14,90,2:51,32,70,115,8233,Disney
17,A Whole New World,Lea Salonga,2004-01-01,121,23,28,-16,13,2:41,85,67,7,270,Disney
18,A Little More,Jessica Darrow,2022-11-02,126,38,56,-10,22,3:07,75,47,389,1043,Disney
19,Hawaiian Roller Coaster Ride,Mark Keali'i Ho'omalu,2002-01-01,115,62,70,-10,95,3:28,31,66,31,7538,Disney
20,Into the Unknown,Idina Menzel,2019-11-15,145,41,32,-9,27,3:15,85,72,246,5783,Disney
21,When You Wish Upon A Star,Cynthia Erivo,2022-09-08,85,29,16,-10,13,1:58,91,62,116,4812,Disney
22,Under the Sea,Samuel E. Wright,2006-01-01,99,48,51,-15,82,3:15,71,68,8,7436,Disney
23,He Mele No Lilo,Mark Keali'i Ho'omalu,2002-01-01,127,33,73,-12,39,2:28,46,64,254,4690,Disney
24,"I Won't Say (I'm In Love) - From ""Hercules"" / Soundtrack Version",Susan Egan,2001-01-01,121,47,68,-9,45,2:20,21,62,52,7733,Disney
25,"For the First Time in Forever - From ""Frozen""/Soundtrack Version",Kristen Bell,2013-01-01,91,41,35,-6,43,3:45,82,68,105,160,Disney
26,Friend Like Me,Will Smith,2019-05-22,98,73,69,-6,67,2:36,5,68,53,2582,Disney
27,This Is Halloween,The Citizens of Halloween,2006-01-01,168,51,57,-13,65,3:17,77,75,117,3426,Disney
28,Where You Are,Christopher Jackson,2016-11-18,118,66,71,-9,75,3:30,74,67,118,1850,Disney
29,Try Everything,Shakira,2016-02-12,115,61,71,-5,48,3:17,3,69,54,4158,Disney
30,Dig a Little Deeper,Jenifer Lewis,2009-11-23,98,83,72,-4,80,2:48,39,64,119,2736,Disney
31,"You'll Be In My Heart - From ""Tarzan""/Soundtrack Version",Phil Collins,2021-05-28,97,75,57,-7,61,4:18,6,70,32,594,Disney
32,"Colombia, Mi Encanto",Carlos Vives,2021-11-19,124,88,72,-8,81,2:55,2,67,120,1389,Disney
33,Loyal Brave True,Christina Aguilera,2020-09-04,143,39,59,-9,48,2:46,60,60,13,3452,Disney
34,Remember Me (Dúo),Miguel,2017-11-10,85,55,61,-7,57,2:44,42,62,55,4412,Disney
35,"Happy Working Song - From ""Enchanted"" / Soundtrack Version",Amy Adams,2007-01-01,172,34,51,-10,65,2:10,84,58,255,5179,Disney
36,Dos Oruguitas,Sebastian Yatra,2021-11-19,94,36,42,-11,47,3:35,76,64,33,2903,Disney
37,A Whole New World (End Title),ZAYN,2019-05-22,111,41,30,-8,11,4:03,6,61,121,3100,Disney
38,"When We're Human - From ""The Princess and the Frog""/Soundtrack Version",Michael-Leon Wooley,2021-05-28,107,78,69,-4,53,2:22,31,60,122,3287,Disney
39,"Circle of Life - From ""The Lion King""/ Soundtrack",Carmen Twillie,1994-01-01,84,39,40,-16,57,3:59,6,65,56,5987,Disney
40,Waiting On A Miracle,Stephanie Beatriz,2021-11-19,190,55,48,-8,27,2:42,17,69,256,7230,Disney
41,What's This? - From “The Nightmare Before Christmas” / Soundtrack Version,Danny Elfman,2002-08-20,81,47,54,-11,50,3:07,83,57,128,9477,Disney
42,Down in New Orleans (Finale),Anika Noni Rose,2009-11-23,148,83,58,-4,72,1:35,46,59,34,7350,Disney
43,Zero To Hero,Chorus - Hercules,1997-01-01,165,82,47,-8,70,2:21,49,64,129,1902,Disney
44,Speechless (Full),Naomi Scott,2019-05-22,125,49,47,-8,23,3:29,47,69,57,5854,Disney
45,"So Close - From ""Enchanted""/Soundtrack Version",Jon McLaughlin,2007-01-01,80,24,32,-11,19,3:47,78,62,130,5077,Disney
46,What Else Can I Do?,Diane Guerrero,2021-11-19,120,71,72,-6,54,2:59,26,71,131,6140,Disney
