#,Title,Artist,Release,BPM,Energy,Dance,Loud,Valence,Length,Acoustic,Pop.,A.Sep,Rnd,Genre
1,The Christmas Song (Merry Christmas To You),Nat King Cole,1962,79,21,32,-15,21,3:12,92,76,2,2466,Happy Holidays
2,Rockin' Around The Christmas Tree,Brenda Lee,1964-10-19,67,47,59,-9,90,2:06,61,83,160,8910,Happy Holidays
3,Let It Snow! Let It Snow! Let It Snow!,Dean Martin,1959-01-01,134,24,45,-14,70,1:57,91,81,62,3587,Happy Holidays
4,A Holly Jolly Christmas,Burl Ives,1965-10-01,140,38,68,-13,89,2:16,58,77,63,2158,Happy Holidays
5,Christmas (Baby Please Come Home),Darlene Love,1963,127,76,33,-7,36,2:46,40,69,17,3323,Happy Holidays
6,White Christmas,Bing Crosby,1945-01-01,94,20,23,-16,19,3:04,91,67,0,233,Happy Holidays
7,It's the Most Wonderful Time of the Year,Andy Williams,1963-11-24,202,60,24,-8,78,2:32,77,78,27,8565,Happy Holidays
8,Have Yourself A Merry Little Christmas,Judy Garland,1944-01-01,181,18,16,-15,11,2:42,97,67,161,2632,Happy Holidays
9,Jingle Bells - Remastered 1999,Frank Sinatra,1957-09,175,34,51,-13,95,2:01,73,70,18,8763,Happy Holidays
10,Sleigh Ride,The Ronettes,1963,92,77,53,-7,85,3:01,40,74,64,6898,Happy Holidays
11,Jingle Bell Rock,Bobby Helms,1957-12-02,120,42,75,-8,81,2:11,64,82,162,3752,Happy Holidays
12,Carol of the Bells,Mykola Dmytrovych Leontovych,1990,47,11,42,-23,80,1:25,99,73,163,5653,Happy Holidays
13,It's Beginning to Look a Lot Like Christmas (with Mitchell Ayres & His Orchestra),Perry Como,1999-08-20,113,28,72,-12,72,2:36,76,75,19,1337,Happy Holidays
14,"You're A Mean One, Mr. Grinch",Thurl Ravenscroft,1966-12-18,142,48,52,-11,42,5:16,95,65,164,382,Happy Holidays
15,Feliz Navidad,José Feliciano,2002-09-24,149,83,51,-9,96,3:02,55,71,28,5797,Happy Holidays
16,God Rest Ye Merry Gentlemen,Bing Crosby,1945-01-01,97,21,47,-12,69,2:17,98,64,97,6070,Happy Holidays
17,Santa Baby,Eartha Kitt,2011-03-15,84,10,70,-15,47,3:27,90,68,165,6115,Happy Holidays
18,Cool Yule,Louis Armstrong,2016-01-01,149,47,57,-10,72,2:57,68,62,29,926,Happy Holidays
19,(Everybody's Waitin' For) The Man With The Bag,Kay Starr,2016-09-23,141,36,67,-8,79,2:42,49,62,166,9798,Happy Holidays
20,Christmas Time Is Here,Vince Guaraldi Trio,1998-01-01,75,12,37,-21,10,2:43,98,70,12,8356,Happy Holidays
21,"Caroling, Caroling",Nat King Cole,1962,185,38,31,-11,60,2:02,76,67,159,7198,Happy Holidays
22,Blue Christmas,Elvis Presley,1957-10-15,95,27,47,-17,58,2:09,90,73,65,3243,Happy Holidays
23,Little Saint Nick - 1991 Remix,The Beach Boys,1964-11-09,131,55,60,-9,97,1:59,11,71,168,1713,Happy Holidays
24,Do You Hear What I Hear? - Remastered 2006,Bing Crosby,2006-01-01,102,25,57,-15,41,2:46,81,68,180,6804,Happy Holidays
25,Merry Christmas Darling - Remix,Carpenters,1978-10-13,82,21,34,-15,17,3:07,84,66,30,1165,Happy Holidays
26,Happy Holiday / The Holiday Season,Andy Williams,1963-11-24,74,45,51,-10,74,2:37,73,70,593,9906,Happy Holidays
27,Silver Bells,Bing Crosby,1945-01-01,71,14,34,-15,59,3:03,75,67,270,8867,Happy Holidays
28,Winter Wonderland,Darlene Love,1963,122,76,49,-8,45,2:26,60,63,391,7025,Happy Holidays
