#,Title,Artist,Release,BPM,Energy,Dance,Loud,Valence,Length,Acoustic,Pop.,A.Sep,Rnd,Genre
1,Twin (feat. Lil Durk),Roddy Ricch,2022-11-14,84,61,79,-9,33,2:29,3,67,4,5301,Hip Hop
2,Do It Right,Don Toliver,2022-11-18,70,52,66,-7,39,2:54,46,65,107,1288,Hip Hop
3,Rich Flex,Drake,2022-11-04,153,52,56,-9,42,3:59,5,94,0,3025,Hip Hop
4,California Breeze,Lil Baby,2022-10-14,162,67,74,-7,22,2:58,0,82,1,6056,Hip Hop
5,To The Bone (feat. YoungBoy Never Broke Again),Quavo,2022-10-07,150,58,90,-7,51,4:43,4,79,12,6243,Hip Hop
6,Down In Atlanta,Pharrell Williams,2022-11-18,83,82,85,-5,90,2:44,34,75,108,7901,Hip Hop
7,Just Wanna Rock,Lil Uzi Vert,2022-10-17,150,55,49,-8,4,2:04,7,88,38,8019,Hip Hop
8,Major Distribution,Drake,2022-11-04,131,55,91,-10,23,2:51,1,90,69,9152,Hip Hop
9,In My Head,Juice WRLD,2022-10-28,160,55,63,-6,35,3:12,27,84,28,5328,Hip Hop
10,Letter to Takeoff,Gucci Mane,2022-11-15,141,48,81,-9,34,3:38,38,60,39,6409,Hip Hop
11,#1 Freak (feat. Ty Dolla $ign),Roddy Ricch,2022-11-18,125,56,83,-8,78,3:04,10,60,174,2654,Hip Hop
12,One Up,Central Cee,2022-10-14,144,66,85,-8,74,2:40,32,77,40,4037,Hip Hop
13,Chocolate (feat. Young Thug and Gunna),Quavo,2022-10-07,129,61,85,-7,73,3:28,20,73,243,9818,Hip Hop
14,Ain’t Safe (feat. Don Toliver),Trippie Redd,2022-10-28,147,64,83,-5,52,2:47,22,75,17,5900,Hip Hop
15,Stop Breathing,Roddy Ricch,2022-09-30,158,69,59,-6,46,1:51,4,77,324,3688,Hip Hop
16,Bag Talk,Polo G,2022-10-28,158,60,59,-6,15,2:27,3,74,41,5022,Hip Hop
17,Not Finished,Lil Baby,2022-10-14,142,52,79,-7,9,2:43,1,79,97,2395,Hip Hop
18,G Nikes (feat. Polo G),Nardo Wick,2022-10-14,151,64,81,-6,51,3:27,7,73,109,8186,Hip Hop
19,Jigsaw,Key Glock,2022-11-17,160,71,75,-9,25,2:33,0,57,64,7134,Hip Hop
20,Get Away,Young Dolph,2022-11-17,140,64,84,-6,21,3:01,4,60,110,9435,Hip Hop
21,BET,Russ,2022-10-14,126,42,80,-10,18,2:34,23,71,410,2110,Hip Hop
22,Take Shots (feat. Tory Lanez),A Boogie Wit da Hoodie,2022-10-21,93,51,63,-5,58,4:42,3,72,18,6968,Hip Hop
23,2 Million Up,Peezy,2022-08-12,96,42,88,-10,26,2:40,12,70,177,7535,Hip Hop
24,Break My Heart,Rod Wave,2022-11-10,85,56,70,-9,35,2:49,2,71,111,9318,Hip Hop
25,Real Spill,Lil Baby,2022-10-14,157,56,78,-7,28,3:19,5,78,176,3479,Hip Hop
26,My Friends (feat. Lil Durk),Ty Dolla $ign,2022-10-05,170,48,63,-8,44,2:38,6,74,411,7287,Hip Hop
27,Do It Again (feat. 2Rare),NLE Choppa,2022-10-07,160,64,81,-7,72,3:33,9,79,65,3133,Hip Hop
28,YAH Know,Chance the Rapper,2022-11-18,146,87,56,-4,48,5:58,3,55,42,8351,Hip Hop
29,OOGA BOOGA!,Ski Mask The Slump God,2022-10-25,104,92,85,-6,75,2:19,10,77,112,3656,Hip Hop
30,Pussy & Millions (feat. Travis Scott),Drake,2022-11-04,122,63,75,-7,45,4:02,6,90,132,6429,Hip Hop
31,Similar,Money Man,2022-10-28,150,46,89,-12,38,1:52,6,66,66,5752,Hip Hop
32,Bye Bye,Marshmello,2022-10-14,83,53,65,-5,24,1:48,6,83,412,7999,Hip Hop
33,Shordie (with Gunna),G Herbo,2022-10-07,76,70,77,-5,41,2:57,3,68,67,8352,Hip Hop
34,Bulletproof Maybach (feat. Offset),DDG,2022-10-07,95,58,70,-7,60,2:57,8,70,43,6697,Hip Hop
35,B.R.O. (Better Ride Out) [feat. Roddy Ricch],A Boogie Wit da Hoodie,2022-10-07,95,60,58,-8,34,2:58,4,73,294,5594,Hip Hop
36,Give You What You Want,Lil Tjay,2022-11-11,89,66,69,-6,39,2:39,22,74,7,5407,Hip Hop
37,Walk,Kodak Black,2022-09-16,130,51,82,-7,17,2:46,4,74,3,5558,Hip Hop
38,Shoot It Myself (feat. Future),EST Gee,2022-09-16,135,47,80,-9,11,3:08,0,71,113,4738,Hip Hop
39,Tomorrow 2 (with Cardi B),GloRilla,2022-09-23,160,82,79,-4,69,3:30,7,81,44,4574,Hip Hop
40,Nothing Changed,Quavo,2022-09-30,135,59,91,-6,68,3:19,18,74,417,5592,Hip Hop
41,Back End,Finesse2tymes,2022-10-07,130,75,88,-3,32,2:45,1,68,114,760,Hip Hop
42,Blow,Moneybagg Yo,2022-09-22,137,74,82,-5,58,3:03,6,73,115,4120,Hip Hop
43,Backstage Passes (feat. Jack Harlow),EST Gee,2022-09-16,153,48,86,-8,54,2:38,14,74,777,7052,Hip Hop
44,2 Mins of Pain (feat. Alborosie),Sleepy Hallow,2022-09-07,148,43,89,-12,79,2:17,10,72,29,3991,Hip Hop
45,CODE (feat. Moneybagg Yo),Offset,2022-08-26,179,60,60,-7,34,3:12,5,72,116,2900,Hip Hop
46,Super Freaky Girl,Nicki Minaj,2022-08-26,133,88,95,-3,92,2:51,5,80,117,2760,Hip Hop
47,Poland,Lil Yachty,2022-10-11,150,56,70,-8,26,1:23,14,85,413,4870,Hip Hop
48,bank account (with Lil Uzi Vert),Baby Keem,2022-10-28,148,72,86,-3,69,3:34,1,73,45,4749,Hip Hop
49,90 Proof (with J. Cole),Smino,2022-09-30,148,62,77,-7,53,3:28,24,72,30,8115,Hip Hop
50,BILLIE EILISH.,Armani White,2022-05-19,100,51,90,-7,77,1:39,12,87,178,9393,Hip Hop
51,DON'T SAY NOTHIN',Saweetie,2022-11-17,100,47,94,-8,11,3:07,0,56,118,760,Hip Hop
52,Unh Unh,GloRilla,2022-11-11,178,80,72,-6,56,2:49,7,64,382,634,Hip Hop
53,"Super Freaky Girl (with JT & BIA feat. Katie Got Bandz, Akbar V & Maliibu Mitch) - Queen Mix",Nicki Minaj,2022-09-09,133,78,88,-4,88,3:55,10,69,778,9561,Hip Hop
54,Gift & A Curse,Megan Thee Stallion,2022-08-12,140,76,93,-5,83,2:52,3,65,8,1583,Hip Hop
55,Wheelie (feat. 21 Savage),Latto,2022-03-25,148,67,91,-6,78,2:50,3,58,68,9677,Hip Hop
56,Shabooya,Hitkidd,2022-09-30,145,62,88,-5,84,2:59,1,63,70,3977,Hip Hop
57,Bikini Bottom,Ice Spice,2022-10-28,162,63,75,-5,58,1:47,21,72,119,5253,Hip Hop
58,Mind Yo Business (Feat. Latto),Lakeyah,2022-06-03,118,56,96,-7,74,2:02,3,62,46,5235,Hip Hop
59,My Way,Omeretta the Great,2022-11-18,132,43,88,-9,52,4:24,7,43,71,8195,Hip Hop
60,Pretty Girls Walk,Big Boss Vette,2022-10-14,90,68,92,-7,72,2:20,3,62,120,8652,Hip Hop
61,Not My N*gga,KenTheMan,2022-10-14,118,57,98,-9,80,2:07,3,59,179,5244,Hip Hop
62,Shirt,SZA,2022-10-28,120,45,82,-10,55,3:02,15,89,414,5686,Hip Hop
63,Vegas (From the Original Motion Picture Soundtrack ELVIS),Doja Cat,2022-05-06,160,60,80,-8,74,3:03,8,87,72,3367,Hip Hop
64,Hot Shit (feat. Ye & Lil Durk),Cardi B,2022-07-01,157,69,88,-5,52,3:32,0,75,121,2017,Hip Hop
65,Telfy,Maiya The Don,2022-10-07,123,71,94,-7,69,3:07,25,59,415,3764,Hip Hop
66,Conceited,Flo Milli,2022-06-17,118,68,98,-6,42,2:26,6,70,73,7175,Hip Hop
67,Against The Law (feat. KenTheMan),Enchanting,2022-11-18,82,45,84,-7,23,2:46,1,41,47,5389,Hip Hop
68,Come Outside,Asian Doll,2022-11-07,143,87,78,-4,69,2:41,67,51,416,3880,Hip Hop
69,Wifey,Rubi Rose,2022-06-10,105,60,89,-11,75,2:03,2,57,422,3849,Hip Hop
70,BO$$ CHICK,Saweetie,2022-11-18,180,61,80,-12,81,2:15,7,49,779,8867,Hip Hop
71,Snatched (with Flo Milli & Saucy Santana) - Remix,Big Boss Vette,2022-08-05,170,70,84,-5,57,2:40,4,60,780,7460,Hip Hop
72,Pressurelicious (feat. Future),Megan Thee Stallion,2022-07-21,147,72,84,-5,67,2:53,1,64,208,6145,Hip Hop
73,Munch (Feelin’ U),Ice Spice,2022-08-10,166,53,81,-7,64,1:45,29,77,781,4870,Hip Hop
74,Stressed,Doechii,2022-10-14,115,78,62,-5,41,3:04,0,63,48,4959,Hip Hop
75,Stone Cold,Dess Dior,2022-10-19,157,71,67,-9,73,2:30,5,58,180,692,Hip Hop
76,For the Night,Chlöe,2022-10-28,79,82,46,-4,49,3:25,22,70,181,4849,Hip Hop
77,Body Bag,Monaleo,2022-10-20,85,62,86,-4,52,2:38,52,58,183,5400,Hip Hop
78,I Admit It,Rican Da Menace,2022-11-04,146,78,91,-6,82,2:22,12,44,423,3893,Hip Hop
79,Nut Quick,GloRilla,2022-11-08,85,71,84,-5,51,2:38,10,57,751,7370,Hip Hop
