#,Title,Artist,Release,BPM,Energy,Dance,Loud,Valence,Length,Acoustic,Pop.,A.Sep,Rnd,Genre
1,A Night In Tunisia,Grace Kelly,2022-10-14,120,55,81,-12,60,4:15,32,44,164,4950,Jazz
2,The Gardens,Garrett Saracho,2022-11-18,130,72,41,-8,48,6:03,12,29,411,3383,Jazz
3,Tell Me Again,Tivon Pennicott,2022-11-18,101,76,67,-8,25,3:31,35,29,412,8415,Jazz
4,Dust Ball Fantasy (feat. Lionel Loueke),Marcus Strickland Twi-Life,2022-11-04,96,64,42,-10,64,5:28,65,41,413,7751,Jazz
5,Stolper Jim,Lambert,2022-11-18,128,40,65,-12,38,4:06,74,35,414,1384,Jazz
6,Hope Song,Chino Corvalán,2022-11-17,159,86,26,-12,24,3:10,32,27,165,1991,Jazz
7,Kuti,Charles Lloyd,2022-11-18,83,7,52,-25,29,7:52,96,32,44,9146,Jazz
8,Us - A COLORS SHOW,FKJ,2022-10-24,58,30,40,-12,43,6:14,97,61,415,244,Jazz
9,Astagjol,Orions Belte,2022-11-18,111,29,47,-14,40,3:22,83,27,166,3203,Jazz
10,deliverenzo,Unc D,2022-11-18,164,62,60,-12,78,4:15,4,26,81,4793,Jazz
11,90s,Braxton Cook,2022-11-11,97,71,42,-6,39,4:19,40,48,167,885,Jazz
12,Head in the Clouds,Nine Sparks Riots,2022-11-18,89,61,40,-11,65,3:42,56,32,45,4165,Jazz
13,Intuition,Elusive,2022-11-18,78,70,67,-10,85,2:19,18,27,46,5995,Jazz
14,Glass Moon,Leland Whitty,2022-11-16,120,69,50,-6,13,3:49,26,25,168,9010,Jazz
15,Changing Earth,Matthew Halsall,2022-11-09,110,30,64,-14,36,6:28,81,43,82,4244,Jazz
16,Black Alchemy/Hall of Mirrors,Marquis Hill,2022-10-26,134,73,48,-11,71,6:01,48,44,169,5896,Jazz
17,Ondes of Chakras,Dhafer Youssef,2022-11-04,116,29,50,-19,49,6:17,80,44,416,147,Jazz
18,Sicily' Box,Venna,2022-10-28,173,59,39,-11,54,4:06,60,52,417,581,Jazz
19,Bag Lady,José James,2022-11-11,79,41,64,-12,65,4:48,46,40,83,4963,Jazz
20,Life Goes On (feat. Sampa the Great),Ezra Collective,2022-11-04,187,84,51,-8,60,3:24,0,38,19,6454,Jazz
21,The Pioneers,Bill Frisell,2022-11-11,79,22,53,-15,31,5:43,97,40,84,9435,Jazz
22,Pure Body,tyroneisaacstuart,2022-11-11,107,76,64,-8,57,5:09,1,34,418,7459,Jazz
23,科学,H ZETTRIO,2022-11-01,84,81,27,-8,64,3:26,0,38,47,9228,Jazz
24,Sunday Brunch,Digby Jones,2022-11-04,80,49,77,-9,64,2:02,37,40,170,4198,Jazz
25,Secret Love,Nice Chair,2022-11-11,91,35,58,-11,49,7:06,78,34,419,4509,Jazz
26,Bone And Soil - Shabaka Hutchings Remix,Chelsea Carmichael,2022-11-11,95,46,57,-13,55,5:08,68,34,171,5400,Jazz
27,This Masquerade,David Garfield,2022-09-23,83,46,62,-9,44,7:37,56,37,48,7814,Jazz
28,Quiet as It's Kept,Tom Skinner,2022-11-04,107,51,32,-10,38,4:04,17,33,420,7448,Jazz
29,Lokum,Avishai Cohen,2022-10-28,112,41,33,-14,61,4:27,36,45,421,6540,Jazz
30,Fecundity,The JuJu Exchange,2022-11-11,86,61,27,-8,34,2:45,91,37,172,8856,Jazz
31,Mystics - Live,Yussef Dayes,2022-08-19,89,20,62,-19,5,3:47,55,37,173,8714,Jazz
32,Appalachian Wanderer,Joshua Espinoza,2022-10-28,78,41,27,-17,34,5:29,89,37,422,223,Jazz
33,Nu Jump,Nathan-Paul,2022-11-04,113,75,49,-6,51,2:45,0,37,174,6042,Jazz
34,What Are You Doing the Rest of Your Life?,Gustav Lundgren,2022-11-11,107,32,48,-17,38,6:30,86,33,423,4427,Jazz
35,First Impression,Kurt Rosenwinkel,2022-11-11,82,23,47,-17,9,4:55,92,36,175,2664,Jazz
36,Quanno chiove,Massimo Faraò,2022-11-04,109,17,69,-18,58,4:44,92,35,3,9000,Jazz
37,Mister Unknown,Kolinga,2022-09-02,84,57,41,-9,14,6:20,70,36,424,5676,Jazz
38,Minding My Business,High John,2022-09-01,77,29,75,-16,21,3:45,49,39,425,52,Jazz
39,Arrows,Nine Sparks Riots,2022-06-17,139,39,58,-12,65,3:55,60,34,662,4860,Jazz
40,Space Gems,Underground Canopy,2022-10-28,169,53,48,-12,37,7:23,22,36,426,8356,Jazz
41,Uptown in Orbit,Emmet Cohen,2022-10-28,111,59,47,-8,41,8:13,54,37,427,5235,Jazz
42,Do You Know a Place Called Flekkeroy?,Dawda Jobarteh,2022-10-28,186,36,42,-12,37,3:52,88,34,428,2037,Jazz
43,Miss Psilo,Jerk,2022-10-06,82,29,61,-12,4,3:34,68,34,429,6933,Jazz
44,Zero — piano reworks,Alfa Mist,2022-10-28,80,9,43,-19,9,3:28,99,43,7,6385,Jazz
45,That's the Way It Is,Anders Mogensen,2022-11-04,106,42,57,-12,63,4:13,71,36,176,5681,Jazz
46,Reload,Marialy Pacheco,2022-10-14,115,53,59,-12,72,7:27,70,41,430,3092,Jazz
47,Spook,PYJÆN,2022-10-28,77,73,36,-6,39,5:19,2,36,85,2562,Jazz
48,Kantine,Radio Citizen,2022-10-28,73,40,29,-10,34,4:42,73,40,431,6657,Jazz
49,Strange Habits,Glimlip,2022-09-30,86,27,55,-12,32,2:16,69,43,20,1940,Jazz
50,Red Lightning,MONKY,2022-08-31,183,73,34,-8,57,5:33,30,36,432,7919,Jazz
51,"Limu, Limu, Lima",Fredrik Kronkvist,2022-09-16,111,89,40,-6,63,4:38,32,38,433,8992,Jazz
52,The Hit,Chip Wickham,2022-09-09,97,62,42,-10,60,4:45,57,33,86,6495,Jazz
53,Miss Kane,Swindle,2022-08-19,152,78,70,-7,76,4:16,9,35,434,429,Jazz
54,Words Left Unspoken,Jasmine Myra,2022-07-15,115,23,53,-16,34,6:41,95,39,435,3620,Jazz
55,Road To Los Suenos,Marcus Johnson,2022-09-19,114,80,51,-12,95,6:11,42,32,436,887,Jazz
56,Choy Soda,Takuya Kuroda,2022-10-21,113,71,45,-8,61,4:47,1,40,177,8856,Jazz
57,Catá Surf,Kansado,2022-09-30,96,80,79,-8,95,2:55,39,42,49,6443,Jazz
58,Beep Durple,Cory Weeds,2022-04-15,85,47,60,-10,88,6:21,80,35,437,4085,Jazz
59,Respected Destroyer,Terri Lyne Carrington,2022-09-16,82,46,50,-10,45,5:29,39,36,438,7304,Jazz
60,PYRAMIDS,The Comet Is Coming,2022-09-23,127,76,64,-6,14,4:50,0,43,178,9106,Jazz
61,Ersa,Daylight Robbery!,2022-07-15,113,59,46,-12,19,3:47,22,40,440,1340,Jazz
62,Night Bird,Niels Vincentz,2022-10-07,136,43,53,-12,34,5:43,55,32,441,2136,Jazz
63,So Cold,Jackson Mathod,2022-07-21,95,66,64,-10,60,4:12,13,38,179,1782,Jazz
64,Finding Light,Jeff Denson,2022-09-23,178,33,40,-16,55,4:22,84,34,442,9349,Jazz
65,Kma,The Modern Jazz Trio,2022-10-21,132,67,35,-11,60,6:31,27,36,443,9925,Jazz
66,Evolution (Tiny Room Sessions),Greg Spero,2022-10-21,144,50,49,-11,47,2:35,11,40,180,1862,Jazz
67,Take It! (feat. Bernard Wright),Snarky Puppy,2022-09-30,90,84,64,-6,62,6:39,13,48,4,3086,Jazz
68,Chucks & Pearl Snaps,Mark Lettieri,2022-11-04,104,47,86,-9,47,4:19,32,39,21,8538,Jazz
69,Dora’s Lullaby,Julius Rodriguez,2022-10-19,157,32,27,-12,13,2:49,81,41,50,3498,Jazz
70,Chavez,Julian Lage,2022-08-31,93,58,52,-11,67,4:19,66,33,181,4359,Jazz
71,Wings,Theon Cross,2022-10-06,91,89,33,-6,82,5:31,1,39,87,2932,Jazz
72,Galaxias (Radio Edit),Nino Josele,2022-10-07,114,73,66,-12,79,3:57,68,41,444,3007,Jazz
