#,Title,Artist,Release,BPM,Energy,Dance,Loud,Valence,Length,Acoustic,Pop.,A.Sep,Rnd,Genre
1,Mbappe,Eladio Carrion,2022-11-18,130,68,71,-5,51,2:28,55,71,29,2473,Latin
2,Hey Mor,Ozuna,2022-10-06,98,59,90,-7,40,3:17,0,84,1,5707,Latin
3,CAIRO,KAROL G,2022-11-13,115,69,95,-4,43,3:21,47,78,16,3755,Latin
4,Monotonía,Shakira,2022-10-19,132,70,87,-4,82,2:39,42,92,7,739,Latin
5,"Duki: Bzrp Music Sessions, Vol. 50",Bizarrap,2022-11-16,140,87,54,-2,32,3:48,37,84,64,4557,Latin
6,La Bachata,Manuel Turizo,2022-05-26,125,68,84,-5,85,2:43,58,97,22,3573,Latin
7,Los Cachos,Piso 21,2022-07-08,92,73,77,-4,42,3:32,11,83,30,8778,Latin
8,LEJOS DEL CIELO,Rauw Alejandro,2022-11-10,92,52,77,-7,22,3:29,37,75,3,4077,Latin
9,Éxtasis,Manuel Turizo,2022-10-27,98,75,83,-4,58,3:12,28,80,271,4234,Latin
10,"Quevedo: Bzrp Music Sessions, Vol. 52",Bizarrap,2022-07-06,128,78,62,-6,55,3:19,1,97,501,8656,Latin
11,Neverita,Bad Bunny,2022-05-06,122,50,88,-8,43,2:53,7,91,0,4444,Latin
12,GATÚBELA,KAROL G,2022-08-26,93,86,63,-3,34,3:29,26,88,263,9506,Latin
13,PUNTO 40,Rauw Alejandro,2022-09-22,107,83,87,-1,20,3:11,0,89,143,7784,Latin
14,Junio,Maluma,2022-09-29,120,76,85,-3,90,2:49,10,81,4,9496,Latin
15,Punto G,Quevedo,2022-11-04,92,76,75,-4,55,2:31,25,83,181,8435,Latin
16,DESPECHÁ,ROSALÍA,2022-07-28,130,62,92,-7,78,2:37,18,91,45,7715,Latin
17,A Veces (feat. Feid),Paulo Londra,2022-11-03,92,67,80,-4,81,3:12,4,82,65,2861,Latin
18,En La De Ella,Jhayco,2022-10-21,97,77,82,-5,67,3:51,8,84,37,1624,Latin
19,Besos Moja2,Wisin & Yandel,2022-09-30,94,73,74,-5,64,3:49,6,88,31,2864,Latin
20,DOMINGO DE BOTE,Mora,2022-11-03,120,77,81,-5,44,3:11,12,81,13,9391,Latin
21,Tití Me Preguntó,Bad Bunny,2022-05-06,107,72,65,-5,19,4:04,10,95,61,4159,Latin
22,Caile,Luar La L,2020-12-18,122,76,70,-5,46,2:21,30,88,182,9940,Latin
23,Prohibidox,Feid,2022-09-14,180,80,65,-3,52,2:46,5,85,11,6863,Latin
24,Viaje,Farruko,2022-10-13,122,80,71,-5,66,5:04,4,73,66,5779,Latin
25,cómo dormiste?,Rels B,2022-08-04,126,43,63,-8,56,1:53,24,87,183,7952,Latin
26,BABY OTAKU,Pablito Pesadilla,2022-08-18,102,75,84,-5,43,2:56,5,87,601,5120,Latin
27,LOS APARATOS,El Alfa,2022-08-03,113,88,87,-3,90,3:53,5,79,5,4343,Latin
28,No Se Va - En Vivo,Grupo Frontera,2022-04-28,173,53,59,-9,69,3:14,12,89,602,1775,Latin
29,Feliz Cumpleaños Ferxxo,Feid,2022-08-19,95,55,87,-6,57,2:36,10,86,214,708,Latin
30,Aeropuerto,Camilo,2022-09-06,198,58,69,-4,71,2:58,3,76,17,7491,Latin
31,El Que Espera,Anitta,2022-08-11,176,76,83,-2,83,2:50,9,75,184,9935,Latin
32,Inseparables,Yahritza Y Su Esencia,2022-10-07,140,44,68,-7,52,2:52,73,75,185,3353,Latin
33,MEMORIAS,Mora,2022-04-01,128,71,77,-6,32,3:49,39,84,239,3757,Latin
34,Vapor,Wisin & Yandel,2022-09-30,94,78,80,-4,32,3:29,7,78,306,3073,Latin
35,Vista Al Mar,Quevedo,2022-09-09,105,56,76,-6,49,3:01,80,89,1158,5331,Latin
36,Ojalá,The Rudeboyz,2022-10-20,93,62,77,-5,28,3:09,33,76,603,8087,Latin
37,Brother,Anuel AA,2022-09-14,166,63,59,-6,56,3:30,62,75,6,2564,Latin
38,Ojos Marrones,Lasso,2022-06-03,120,65,81,-4,72,3:19,4,85,278,7934,Latin
39,AUTOMÁTICO,Maria Becerra,2022-09-08,176,81,68,-4,87,2:55,9,84,135,2033,Latin
40,El Último Beso,TINI,2022-09-15,113,66,65,-3,69,3:18,31,79,89,1840,Latin
41,Hood - Remix,Trueno,2022-10-06,90,46,67,-6,93,2:56,79,78,279,7711,Latin
42,Efecto,Bad Bunny,2022-05-06,98,48,80,-9,23,3:33,14,94,116,8548,Latin
43,Qué Agonía,Yuridia,2022-10-20,98,57,73,-6,88,2:33,56,80,67,5026,Latin
44,Te Felicito,Shakira,2022-04-21,174,64,70,-5,57,2:52,23,88,195,2051,Latin
45,Sin Fin,Romeo Santos,2022-08-30,128,86,76,-4,76,3:55,19,72,14,4400,Latin
46,NO HAY LEY,Kali Uchis,2022-09-02,122,62,71,-6,42,2:37,8,72,186,14,Latin
47,Mayor Que Usted,Natti Natasha,2022-06-17,184,84,63,-5,77,3:54,1,79,32,6145,Latin
48,Sin Novia,Nicky Jam,2022-08-04,107,75,75,-5,51,3:08,12,73,18,3750,Latin
49,Suelta,Jay Wheeler,2022-07-08,122,55,86,-6,34,4:04,63,74,15,3905,Latin
50,Envolver,Anitta,2021-11-11,92,74,81,-5,40,3:14,15,81,1159,4325,Latin
51,Hey Mor,Ozuna,2022-10-07,98,59,90,-7,40,3:17,0,88,126,1602,Latin
52,LOKERA,Rauw Alejandro,2022-07-25,102,83,83,-3,58,3:15,21,89,268,6922,Latin
53,Dile,Don Omar,2003-01-01,94,71,82,-8,71,3:25,18,82,19,5484,Latin
54,DE CAROLINA,Rauw Alejandro,2022-11-11,111,96,80,-2,93,3:02,17,68,379,2531,Latin
55,Me Porto Bonito,Bad Bunny,2022-05-06,92,71,91,-5,43,2:59,9,95,169,9708,Latin
56,Normal,Feid,2022-07-08,170,56,71,-5,59,2:52,4,82,390,1130,Latin
57,DURO,Chris Jedi,2022-11-04,172,81,68,-4,63,3:38,52,75,187,1755,Latin
58,Luces De Neón,Myke Towers,2022-09-08,95,62,75,-6,57,3:40,9,79,46,4763,Latin
59,Foto En Panty,Sech,2022-10-28,100,89,82,-5,79,2:55,18,72,8,23,Latin
60,Que Duro,Blessd,2022-11-03,81,69,89,-3,58,3:24,28,72,68,332,Latin
61,Es un Secreto,Plan B,2010,95,78,84,-5,50,3:11,10,84,90,6600,Latin
62,AIRBNB,Mora,2022-11-03,91,72,81,-5,50,3:06,26,77,434,47,Latin
63,Fuego Forestal,Justin Quiles,2022-08-25,170,57,77,-6,66,3:19,12,73,33,9299,Latin
64,Mercedes Tintia,Anuel AA,2022-08-25,172,67,82,-4,77,3:15,9,78,165,7050,Latin
65,Instagram - Remix,Blessd,2022-10-14,180,68,79,-3,97,4:04,20,74,502,3307,Latin
66,Pa' Que Retozen,Tego Calderón,2003-07-01,92,86,82,-4,87,2:32,40,82,91,1553,Latin
67,La Corriente,Bad Bunny,2022-05-06,196,79,66,-4,58,3:18,23,88,220,8507,Latin
68,Fiera,Cris Mj,2022-10-27,92,77,82,-4,88,2:56,12,78,280,4586,Latin
69,La Llevo Al Cielo (Ft. Ñengo Flow),Chris Jedi,2022-05-20,170,85,80,-4,77,4:15,11,85,1160,4016,Latin
70,LOKITA,Natti Natasha,2022-09-30,96,84,77,-4,74,3:13,32,74,307,7165,Latin
71,Carro Nuevo,Jay Wheeler,2022-08-19,100,50,83,-8,34,4:00,24,67,240,8733,Latin
72,Un Minuto,Papi Sousa,2021-03-26,180,45,83,-7,91,2:57,22,65,604,9118,Latin
73,Nadie Nos Vio - Spotify Singles,Ryan Castro,2022-11-03,170,80,72,-9,45,2:40,12,67,92,4359,Latin
74,Mañana,Ozuna,2022-10-07,91,52,87,-5,69,3:12,11,74,226,4436,Latin
