#,Title,Artist,Release,BPM,Energy,Dance,Loud,Valence,Length,Acoustic,Pop.,A.Sep,Rnd,Genre
1,Unholy (feat. Kim Petras),Sam Smith,2022-09-22,131,47,71,-7,24,2:37,1,100,20,1378,Pop
2,Anti-Hero,Taylor Swift,2022-10-21,97,64,64,-7,53,3:21,13,97,0,6596,Pop
3,CUFF IT,Beyoncé,2022-07-29,115,69,78,-6,64,3:45,4,93,77,5510,Pop
4,Rich Flex,Drake,2022-11-04,153,52,56,-9,42,3:59,5,94,10,153,Pop
5,Calm Down (with Selena Gomez),Rema,2022-08-25,107,81,80,-5,80,3:59,38,92,314,6780,Pop
6,As It Was,Harry Styles,2022-03-31,174,73,52,-5,66,2:47,34,93,2,2447,Pop
7,Miss You,Oliver Tree,2022-08-05,145,74,59,-7,20,3:26,1,93,315,5691,Pop
8,I'm Good (Blue),David Guetta,2022-08-26,128,97,56,-4,30,2:55,0,97,47,2590,Pop
9,Lift Me Up - From Black Panther: Wakanda Forever - Music From and Inspired By,Rihanna,2022-10-28,177,30,25,-6,17,3:17,90,90,11,1678,Pop
10,I Ain't Worried,OneRepublic,2022-05-13,140,80,70,-6,83,2:28,8,95,12,7419,Pop
11,Made You Look,Meghan Trainor,2022-10-21,145,53,84,-4,88,2:14,35,91,48,9816,Pop
12,La Bachata,Manuel Turizo,2022-05-26,125,68,84,-5,85,2:43,58,97,134,8728,Pop
13,Under The Influence,Chris Brown,2019-10-04,117,69,73,-6,31,3:05,6,95,135,5376,Pop
14,I Like You (A Happier Song) (with Doja Cat),Post Malone,2022-06-03,101,67,73,-6,47,3:13,12,89,4,3707,Pop
15,Lavender Haze,Taylor Swift,2022-10-21,97,44,73,-10,10,3:22,26,92,88,8817,Pop
16,golden hour,JVKE,2022-09-23,94,59,52,-5,15,3:29,65,88,49,5462,Pop
17,Late Night Talking,Harry Styles,2022-05-20,115,73,71,-5,90,2:58,30,90,150,3952,Pop
18,Shirt,SZA,2022-10-28,120,45,82,-10,55,3:02,15,89,136,7827,Pop
19,STAR WALKIN' (League of Legends Worlds Anthem),Lil Nas X,2022-09-22,142,72,64,-5,31,3:31,15,90,50,7683,Pop
20,Tití Me Preguntó,Bad Bunny,2022-05-06,107,72,65,-5,19,4:04,10,95,51,5399,Pop
21,Super Freaky Girl,Nicki Minaj,2022-08-12,133,89,95,-3,91,2:51,6,88,29,2434,Pop
22,Bad Habit,Steve Lacy,2022-06-29,169,51,69,-7,69,3:52,63,90,52,4696,Pop
23,Down In Atlanta,Pharrell Williams,2022-11-18,83,82,85,-5,90,2:44,34,75,316,328,Pop
24,Vegas (From the Original Motion Picture Soundtrack ELVIS),Doja Cat,2022-05-06,160,60,80,-8,74,3:03,8,87,13,2314,Pop
25,SNAP,Rosa Linn,2022-03-19,170,64,56,-8,53,3:00,11,92,138,1376,Pop
26,Something in the Orange,Zach Bryan,2022-04-22,175,19,37,-12,15,3:48,56,88,318,2110,Pop
27,Bones,Imagine Dragons,2022-03-11,114,74,77,-4,57,2:45,2,88,30,9336,Pop
28,About Damn Time,Lizzo,2022-04-14,109,74,84,-6,72,3:12,10,86,31,1314,Pop
29,Die For You,Joji,2022-11-04,148,52,47,-7,15,3:32,38,89,78,3741,Pop
30,Born Again,Rihanna,2022-11-11,117,26,47,-8,26,3:33,48,79,293,6295,Pop
31,Monotonía,Shakira,2022-10-19,132,70,87,-4,82,2:39,42,92,139,2218,Pop
32,Left and Right (Feat. Jung Kook of BTS),Charlie Puth,2022-06-24,101,59,88,-5,72,2:34,62,88,32,6875,Pop
33,My Mind & Me,Selena Gomez,2022-11-03,144,39,60,-6,24,2:28,57,84,79,9607,Pop
34,B.O.T.A. (Baddest Of Them All) - Edit,Eliza Rose,2022-08-12,137,91,74,-8,70,3:47,16,87,319,8636,Pop
35,Evergreen (You Didn’t Deserve Me At All),Omar Apollo,2022-04-08,82,34,70,-10,31,3:37,60,87,140,848,Pop
36,THE LONELIEST,Måneskin,2022-10-07,130,60,52,-5,24,4:07,0,86,141,6317,Pop
37,i'm yours,Isabel LaRosa,2022-10-28,111,71,40,-7,64,2:26,20,82,80,8886,Pop
38,Just Wanna Rock,Lil Uzi Vert,2022-10-17,150,55,49,-8,4,2:04,7,88,142,997,Pop
39,WAIT FOR U (feat. Drake & Tems),Future,2022-04-29,83,64,46,-4,34,3:10,31,88,53,7342,Pop
40,STAY (with Justin Bieber),The Kid LAROI,2021-07-09,170,76,59,-5,48,2:22,4,87,143,206,Pop
41,"Quevedo: Bzrp Music Sessions, Vol. 52",Bizarrap,2022-07-06,128,78,62,-6,55,3:19,1,97,144,202,Pop
42,Romantic Homicide,d4vd,2022-07-20,132,54,57,-11,22,2:13,45,93,145,539,Pop
43,Until I Found You,Stephen Sanchez,2021-09-01,101,51,54,-6,23,2:58,73,88,21,1052,Pop
44,Hold Me Closer,Elton John,2022-08-26,126,75,67,-5,49,3:22,7,87,81,6702,Pop
45,DESPECHÁ,ROSALÍA,2022-07-28,130,62,92,-7,78,2:37,18,91,82,2663,Pop
46,How Do I Say Goodbye,Dean Lewis,2022-08-31,82,64,40,-6,39,2:44,21,87,54,4080,Pop
47,Forget Me,Lewis Capaldi,2022-09-09,102,74,67,-4,72,3:23,30,87,33,6890,Pop
48,2 Be Loved (Am I Ready),Lizzo,2022-07-15,156,77,72,-4,92,3:07,9,83,376,7788,Pop
49,Shut Down,BLACKPINK,2022-09-16,110,69,82,-5,67,2:56,0,84,146,6007,Pop
50,Doja,Central Cee,2022-07-21,140,57,91,-7,97,1:37,38,89,320,8854,Pop
51,Die For You,The Weeknd,2016-11-25,133,53,58,-7,51,4:20,11,87,22,5385,Pop
52,Midnight Rain,Taylor Swift,2022-10-21,140,36,64,-12,23,2:55,69,91,167,3214,Pop
53,10:35,Tiësto,2022-11-03,120,79,70,-6,70,2:52,7,83,6,8663,Pop
54,BILLIE EILISH.,Armani White,2022-05-19,100,51,90,-7,77,1:39,12,87,147,5126,Pop
55,The Kind of Love We Make,Luke Combs,2022-06-17,102,75,61,-4,46,3:44,2,80,321,2453,Pop
56,Big Energy,Latto,2021-09-24,106,81,94,-4,81,2:53,5,75,83,4010,Pop
57,Pussy & Millions (feat. Travis Scott),Drake,2022-11-04,122,63,75,-7,45,4:02,6,90,294,335,Pop
58,HOTEL LOBBY (Unc & Phew),Quavo,2022-10-07,128,65,83,-4,14,2:23,12,78,55,2329,Pop
59,Bones,Imagine Dragons,2022-07-01,114,75,77,-4,59,2:45,2,85,380,6319,Pop
60,Sunroof,Nicky Youre,2021-12-03,131,71,77,-5,84,2:43,35,89,56,1004,Pop
61,Here With Me,d4vd,2022-09-22,132,47,57,-8,29,4:02,53,86,1204,6854,Pop
62,Stick Season,Noah Kahan,2022-07-08,118,50,66,-7,80,3:02,80,78,57,2775,Pop
63,Jimmy Cooks (feat. 21 Savage),Drake,2022-06-17,166,67,53,-5,37,3:38,0,90,503,8500,Pop
64,Rock and A Hard Place,Bailey Zimmerman,2022-06-10,122,57,58,-7,39,3:28,58,82,148,4983,Pop
65,Betty (Get Money),Yung Gravy,2022-06-10,102,77,72,-7,58,2:26,1,82,84,3922,Pop
66,Tomorrow 2 (with Cardi B),GloRilla,2022-09-23,160,82,79,-4,69,3:30,7,81,149,8616,Pop
67,Heat Waves,Glass Animals,2020-06-29,81,53,76,-7,53,3:59,44,83,85,5469,Pop
68,Static,Steve Lacy,2022-07-15,79,31,34,-13,22,2:37,43,85,513,6995,Pop
69,Me Porto Bonito,Bad Bunny,2022-05-06,92,71,91,-5,43,2:59,9,95,514,896,Pop
70,In My Head,Juice WRLD,2022-10-28,160,55,63,-6,35,3:12,27,84,151,1790,Pop
71,Vigilante Shit,Taylor Swift,2022-10-21,80,28,80,-11,16,2:45,17,88,251,1978,Pop
72,i'm yours sped up,Isabel LaRosa,2022-10-28,129,75,39,-8,64,2:08,11,80,753,7274,Pop
73,Bad Idea,Dove Cameron,2022-10-28,97,63,80,-7,63,2:36,3,73,86,9610,Pop
74,Too Well,Reneé Rapp,2022-11-11,121,62,67,-5,39,2:37,13,62,58,4261,Pop
75,Remember - Acoustic / Sped Up,Becky Hill,2022-10-21,137,53,60,-7,55,2:34,81,72,34,5396,Pop
76,Teenage Dream,Stephen Dawes,2022-06-02,112,36,62,-10,24,2:58,38,81,322,1517,Pop
