#,Title,Artist,Release,BPM,Energy,Dance,Loud,Valence,Length,Acoustic,Pop.,A.Sep,Rnd,Genre
1,Love Abuser (Save Me),Royal & the Serpent,2022-10-07,167,82,31,-3,46,3:07,0,58,2,8587,Rock
2,Hey You,Disturbed,2022-07-14,103,98,50,-3,51,4:28,0,64,6,5803,Rock
3,San Quentin,Nickelback,2022-09-07,124,93,67,-4,83,3:31,0,68,3,58,Rock
4,Save Yourself,ONE OK ROCK,2022-06-24,165,85,50,-3,76,3:18,0,57,42,7945,Rock
5,THE LONELIEST,Måneskin,2022-10-07,130,60,52,-5,24,4:07,0,86,43,4983,Rock
6,This Is Why,Paramore,2022-09-28,123,74,72,-8,69,3:28,0,77,44,2045,Rock
7,Emergency Contact,Pierce The Veil,2022-11-11,113,83,54,-4,40,4:00,0,67,12,7716,Rock
8,EDGING,blink-182,2022-10-14,144,91,61,-3,71,2:32,0,76,134,3231,Rock
9,I’m a Mess (with YUNGBLUD),Avril Lavigne,2022-11-03,91,67,47,-4,40,3:08,1,73,135,1760,Rock
10,What Happens After You?,Weezer,2022-09-22,123,61,65,-8,54,3:20,1,55,136,7266,Rock
11,Natural Born Killer,Highly Suspect,2022-06-22,195,74,20,-5,16,3:16,0,60,45,3515,Rock
12,curious/furious,WILLOW,2022-10-07,142,76,55,-11,70,3:05,7,60,0,6512,Rock
13,Supernatural,Barns Courtney,2022-09-09,98,85,58,-4,61,2:47,3,64,137,7553,Rock
14,Beguiled,The Smashing Pumpkins,2022-09-20,117,61,70,-7,45,3:58,0,63,46,1731,Rock
15,Kill Or Be Killed,Muse,2022-08-26,125,99,25,-2,19,4:59,0,62,4,9370,Rock
16,Just Pretend,Bad Omens,2022-02-25,140,83,46,-5,20,3:25,0,74,138,1937,Rock
17,Bad Things,I Prevail,2022-07-13,92,84,50,-5,14,3:48,0,60,13,1353,Rock
18,September Rain,Cassyette,2022-09-07,160,90,40,-4,27,3:34,0,56,14,547,Rock
19,Fallin' With Me,The Struts,2022-08-19,126,92,64,-2,77,2:42,1,57,47,2121,Rock
20,Eddie,Red Hot Chili Peppers,2022-10-14,142,81,52,-6,53,5:42,0,66,5,4604,Rock
21,Tissues,YUNGBLUD,2022-09-02,90,90,61,-3,81,3:35,1,64,7,5511,Rock
22,Sharks,Imagine Dragons,2022-07-01,124,64,93,-4,90,3:11,1,73,48,4743,Rock
23,Sleepwalking,All Time Low,2022-10-07,176,68,42,-3,58,3:07,2,67,139,6791,Rock
24,sTraNgeRs,Bring Me The Horizon,2022-07-06,183,94,35,-3,53,3:16,0,74,49,8088,Rock
25,Riptide,Beartooth,2022-07-12,128,93,48,-3,55,3:31,0,64,140,3496,Rock
26,HOLIDAY,Turnstile,2021-08-27,155,86,54,-8,32,2:52,0,63,141,9908,Rock
27,Otherside,Ayron Jones,2022-11-04,112,71,44,-6,23,3:47,0,49,50,2060,Rock
28,Pages,White Reaper,2022-10-26,117,74,53,-5,44,2:34,0,54,142,3584,Rock
29,Miracle,A Day To Remember,2022-07-21,160,92,46,-4,37,4:04,0,67,143,2724,Rock
30,Times Like These,Five Finger Death Punch,2022-08-19,74,94,44,-4,59,3:30,1,65,51,4554,Rock
31,CYAN1DE (feat. Pete Wentz),"nothing,nowhere.",2022-11-04,170,88,40,-8,11,3:52,0,58,144,4684,Rock
32,ANIMAL,PVRIS,2022-10-21,160,73,52,-6,77,2:51,10,61,145,8124,Rock
33,tear gas,Architects,2022-10-21,86,88,51,-4,35,4:18,0,61,52,4712,Rock
34,Let You Down (feat. Charlotte Sands),Sleeping With Sirens,2022-08-11,174,94,44,-3,62,3:26,0,55,15,6436,Rock
35,Say It (To My Face),Meet Me @ The Altar,2022-09-30,165,91,51,-5,66,2:39,0,53,16,2882,Rock
36,FUCK ABOUT IT (feat. blackbear),Waterparks,2022-10-14,158,87,49,-4,46,2:52,2,65,53,9563,Rock
37,Jealousy,Pale Waves,2022-08-12,141,90,52,-2,70,3:13,1,55,54,1860,Rock
38,Line It Up (feat. LP),Palaye Royale,2022-10-28,83,79,45,-6,47,4:01,2,58,17,5938,Rock
39,dead inside,blackbear,2022-08-26,148,93,56,-3,83,3:03,0,61,146,4849,Rock
40,Without Me,Dayseeker,2022-11-04,92,81,38,-4,15,3:45,2,57,55,6512,Rock
41,THREE HEADS*,Jean Dawson,2022-08-19,140,88,56,-4,61,2:52,44,56,8,4707,Rock
42,Permanent Rebellion,L.S. Dunes,2022-11-11,177,98,39,-3,29,3:14,0,50,18,6506,Rock
43,Here to Forever,Death Cab for Cutie,2022-09-16,158,77,62,-8,93,3:46,7,61,147,2163,Rock
44,All Comes Crashing,Metric,2022-04-28,111,69,70,-7,30,4:23,1,54,19,4463,Rock
45,Place Your Debts,Jimmy Eat World,2022-10-19,88,46,34,-7,6,5:10,0,54,56,8671,Rock
46,Raised By Wolves,The Interrupters,2022-08-05,135,87,54,-2,70,3:02,1,54,148,3039,Rock
47,Sober,jxdn,2022-11-11,142,86,56,-3,54,2:32,0,61,150,6440,Rock
48,you're not special,Maggie Lindemann,2022-07-15,76,53,70,-7,37,2:47,5,54,20,9404,Rock
49,TAKE THIS CROWN (feat. Good Charlotte),DE'WAYNE,2022-10-28,160,95,46,-5,27,3:36,0,48,1,9703,Rock
50,u turn me on (but u give me depression),LØLØ,2022-08-19,118,82,70,-2,91,2:28,1,58,21,7135,Rock
51,I'm In Love With You,The 1975,2022-09-01,119,90,67,-4,91,4:23,17,74,151,3984,Rock
